Kategori,Nama,Khasiat,Produsen
Jamu Pasutri,Sehat Pria,Untuk menambah tenaga lelaki saat berhubungan intim,TOKO BU EMA
Jamu Perawatan Kewanitaan,Sehat Wanita,Untuk menambah stamina perempuan dan menjaga organ kewanitaan,TOKO BU EMA
Jamu Kesehatan,Nafsu Makan,menambah nafsu makan,TOKO BU EMA
Jamu Kesehatan,Gatal-gatal,untuk menyembuhkan gatal - gatal dan alergi,TOKO BU EMA
Jamu Perawatan Kewanitaan,Ibu Melahirkan,memperlancar ASI,TOKO BU EMA
Jamu Kesehatan,Jamu Sakit Pinggang,meredakan nyeri pinggang dan menambah stamina,TOKO BU EMA
Jamu Kesehatan,Jaselang,"Menambah stamina, pegal linu, capek - capek, menghangatkan badan ",Warda
Jamu Pasutri,Macho,"Menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek - capek, dan menghangatkan badan",Warda
Jamu Kesehatan,Kusir,"menghilangkan bau badan, sakit kepala ",Warda
Jamu Perawatan Kewanitaan,Sarpet Manjakani,"mencegah keputihan, menghilangkan bau  badan, merapatkan vagina ",Warda
Jamu Kesehatan,Jamu Sondhep,"meredakan nyeri otot bagian bahu, otot pinggang, dan memperlancar peredaran darah",TOKO ANGGREK
Jamu Kesehatan,Sale Karang,"sakit gigi,  gusi bengkak dan gusi berdarah",TOKO ANGGREK
Jamu Kesehatan,Daun sirih,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang",TOKO ANGGREK
Jamu Pasutri,Kuda Hitam,Untuk meningkatkan kekuatan pada pria saat berhubungan,RATOHQU
Jamu Pasutri,Jahe Merah Plus,Untuk menambah stamina tubuh Pria dan wanita saat berhubungan,RATOHQU
Jamu Kesehatan,ekstrak jahe,untuk mengobati gejala masuk angin,RATOHQU
Jamu Kesehatan,ekstrak temulawak,untuk mengobati penyakit asam lambung dan menambah nafsu makan,RATOHQU
Jamu Kesehatan,ektrak kunyit,untuk mengobati penyakit asam lambung ,RATOHQU
Jamu Pasutri,kopi lake',Untuk meningkatkan kekuatan pada pria,RATOHQU
Jamu Kesehatan,wedang jahe merah,Menambah stamina tubuh,RATOHQU
Jamu Kesehatan,kunyit asam madu,"untuk merawat kesehatan lambung, dan mengobati panas dalam",RATOHQU
Jamu Perawatan Kewanitaan,manjakani,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,RATOHQU
Jamu Pasutri,kuda hitam cair,Untuk meningkatkan kekuatan pada pria saat berhubungan,RATOHQU
Jamu Kesehatan,ETABARI,untuk penderita kencing manis (Diabetes),TRESNA
Jamu Perawatan Kewanitaan,Subur Kandungan,"menyuburkan kandungan, menguatkan kandungan yang lemah",TRESNA
Jamu Kesehatan,TOLAK AMBEYEN,"Menyembuhkan ambeien baru atau sudah lama, menjaga kesehatan",TRESNA
Jamu Kesehatan,TOLAK BATUK/ASMA,"membantu mengobati batuk yang masih baru maupun yang sudah lama, membantu mengobati penyakit alergi pernafasan bagian atas dan penyakit asma, membantu menurunkan panas demam disebabkan flu dan radang tenggorokan.",TRESNA
Jamu Kesehatan,Susut perut Tresna,membantu mengurangi lemak tubuh terutama di bagian perut dan membantu menurunkan berat badan,TRESNA
Jamu Pasutri,PANYAMAN EMPOT-EMPOT,"membantu merapatkan organ kewanitaan, mengencangkan otot - otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran-getaran apabila ada sentuhan",TRESNA
Jamu Pasutri,masker v,membantu para wanita mengatasi frigid dan agar mempunyai gairah melayani pasangan,TRESNA
Jamu Kesehatan,LAMSAM,"untuk menurunkan / menormalkan tekanan darah tinggi (hipertensi), dan melancarkan peredaran darah dalam tubuh",TRESNA
Jamu Kesehatan,lulur wangi,untuk membersihkan mengatasi jerawat dan mengangkat komedo,TRESNA
Jamu Kesehatan,PETODHU,untuk kesehatan tulang untuk pria dan wanita,TRESNA
Jamu Perawatan Kewanitaan,GALIAN PUTRI,"menjaga agar tubuh tetap segar, sehat, lincah dan tidak pucat, mengatasi bau ketiak dan bau badan yang kurang sedap, membantu mengatasi penyakit keputihan, menjaga organ kewanitaan sehingga pakaian dalam tetap bersih dari noda, melancarkan haid",TRESNA
Jamu Pasutri,GALIAN RAPET,"membantu merapatkan organ kewanitaan biar kencang, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan",TRESNA
Jamu Perawatan Kewanitaan,lulur ayu,"memelihara dan kecantikan wajah dan anggota badan, membersihkan dan menghaluskan kulit",TRESNA
Jamu Kesehatan,PAS JUDHU,"membantu mengatasi asam urat, kolesterol, rematik",TRESNA
Jamu Kesehatan,SEHAT L.M,"memperlancar peredaran darah, menambah tenaga serta meningkatkan daya tahan tubuh terhadap penyakit, membantu mengatasi gejala penuaan, nyeri otot, nyeri sendi, pegal - pegal, rabun mata, mencegah masuk angin, pusing dan maag",TRESNA
Jamu Pasutri,GALIAN RAPET,"membantu merapatkan organ kewanitaan, menjaga keharmonisan rumah tangga, menghilangkan bau tidak sedap, membantu mengatasi keputihan",TRESNA
Jamu Perawatan Kewanitaan,cream montok,membantu membesarkan payudara,TRESNA
Jamu Perawatan Kewanitaan,GALIAN MONTOK,"membantu mengobati buah dada yang kecil supaya jadi montok dan besar, buah dada menjadi padat berisi",TRESNA
Jamu Kesehatan,BERSIH JERAWAT,"membantu mengatasi / membersihkan jerawat, mencegah timbulnya jerawat, memelihara wajah agar tetap halus",TRESNA
Jamu Perawatan Kewanitaan,AWET AYU,"mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput, memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata, membantu mengatasi penyakit keputihan, menghilangkan bau badan, merapatkan vagina, menjaga organ kewanitaan tetap bersih, mengurangi dan menghilangkan rasa sakit serta menjelang haid",TRESNA
Jamu Pasutri,PANYAMAN,"untuk mengatasi kurang gairah, mengencangkan otot - otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran - getaran apabila ada sentuhan",TRESNA
Jamu Pasutri,JAMU PERKASA,"mencegah ejakulasi dini, menambah daya tahan lama pria, menambah tenaga dan gairah keperkasaan pria, menambah kesehatan dan kebugaran",TRESNA
Jamu Kesehatan,peluntur &pelangsing,"mengurangi lemak dalam tubuh terutama di perut yang gendut, mengencangkan otot - otot yang kendur, memelihara tubuh agar tetap langsing padat dan ideal secara alami",TRESNA
Jamu Kesehatan,BEDAK SARI,pengharum tubuh,TRESNA
Jamu Kesehatan,HABBATUS SAUDA,"menjaga stamina, memperkuat daya konsentrasi, anti bakteri, mengatasi infeksi, menghangatkan dan melegakan saluran pernafasan, meringankan gejala batuk pilek, menurunkan demam, membantu mempercepat penyembuhan penyakit, membantu mengatasi maag, mengeluarkan masuk angin dan kembung",TRESNA
Jamu Kesehatan,SELEDRI MIX,untuk mengatasi asam urat,NATURNA
Jamu Kesehatan,KUNYIT ASEM,"meningkatkan daya tahan tubuh, menjaga stamina, menghilangkan bau badan, melancarkan datang bulan, menghaluskan kulit, mencegah penuaan dini, mencegah diare",NATURNA
Jamu Kesehatan,TEMU LAWAK,"mengatasi maag, mengatasi radang sendi, menghilangkan bau badan, mengatasi diare, mengatasi kolesterol, melancarkan pencernaan, mencegah penuaan dini, anti kanker, menyehatkan liver dan ginjal",NATURNA
Jamu Kesehatan,BERAS KENCUR,"mengatasi batuk pilek, meredakan hidung tersumbat, menambah nafsu makan, mengatasi sakit maag, meningkatkan imun tubuh",NATURNA
Jamu Kesehatan,SIRIH PINANG,"menjaga kesehatan gigi, mencegah sariawan, menghilangkan bau mulut, menghilangkan bau badan, mengatasi keputihan, melancarkan pencernaan, mencegah gusi berdarah",NATURNA
Jamu Kesehatan,POKA',"mengatasi masuk angin, mual, pusing, meredakan nyeri sendi, meningkatkan imun tubuh, mencegah penuaan dini, anti kanker, mencegah kolesterol",NATURNA
Jamu Kesehatan,BUNGA TELANG,"menyehatkan mata, menyehatkan otak, menghaluskan kulit, melancarkan pencernaan, mencegah penuaan dini",NATURNA
Jamu Kesehatan,jahe merah instant,"untuk mengobati masuk angin, pusing,dan mual",NATURNA
Jamu Perawatan Kewanitaan,Empot wangi,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,PT. Firdaus
Jamu Perawatan Kewanitaan,Galian singset ++,"mengurangi kelebihan lemak (kolesterol) dalam tubuh, mengecilkan perut, menjaga bentuk tubuh yang ideal, menjaga penampilan selalu awet muda, membantu mengurangi lemak di tubuh, melangsingkan badan, membuat tampil seksi dan percaya diri, menormalkan BAB yang tidak lancar",PT. Firdaus
Jamu Perawatan Kewanitaan,asi booster,"melancarkan asi, menyegarkan badan muka tidak pucat, menyehatkan ibu dan bayi yang dilahirkan, menuntaskan sisa darah, meningkatkan kualitas nutrisi dalam asi",PT. Firdaus
Jamu Perawatan Kewanitaan,gadis remaja,"menghilangkan bau badan yang kurang sedap, mencegah timbulnya jerawat, menyembuhkan keputihan, menjaga bentuk tubuh tetap ideal",PT. Firdaus
Jamu Pasutri,empot-empot,"menambah kemesraan dan keharmonisan keluarga, kembali muda bagaikan gadis remaja, membuat suami makin sayang sama istri, kenikmatan dan kepuasan selalu menjelma",PT. Firdaus
Jamu Pasutri,sehat lelaki,"menambah semangat stamina saat berhubungan dan kesehatan, menguatkan dan menghangatkan badan, pegal linu otot kaku dan lesu",PT. Firdaus
Jamu Pasutri,rapet harum asmara,"merapatkan dan melenturkan miss v, mengatasi bau tak sedap, serta gatal - gatal disekitar organ intim, mengatasi cairan berlebih, mengharumkan area vagina, menjaga keharmonisan hubungan suami istri, menyembuhkan keputihan, serta gejalanya",PT. Firdaus
Jamu Perawatan Kewanitaan,feminia,"menjaga miss v tetap keset elastis, menambah libido, menghilangkan bau badan dan miss v yang kurang sedap, menyembuhkan keputihan, menjaga payudara tetap kenyal dan montok, melindungi rahim dari berbagai virus, menormalkan hormon estrogen, menghangatkan badan, mengurangi pegal - pegal / linu",PT. Firdaus
Jamu Perawatan Kewanitaan,awet muda,"memulihkan elastisitas organ intim wanita ( kencangkan otot miss v), menghilangkan gatal - gatal, keputihan dan bau kurang menyenangkan, mencegah penuaan dini, menstabilkan PH asam dan mengurangi cairan ( basah) berlebihan, meningkatkan hormon estrogen, peremajaan tubuh usai melahirkan / haid, mencegah kanker vagina dan kanker payudara",PT. Firdaus
Jamu Pasutri,jakiat,"memperbaiki stamina pria, meningkatkan kebugaran tubuh dalam hubungan pasutri, membantu mengatasi ejakulasi dini, mengentalkan sperma, menambah kejantanan pria",PT. Firdaus
Jamu Kesehatan,sirih wangi,"menghilangkan bau badan dan mulut, menyembuhkan radang tenggorokan dan gusi, mengatasi keputihan, menyembuhkan jerawat, menghaluskan kulit, melancarkan air seni, penambah tenaga/ stamina, mengurangi keringat berlebih, mengatasi penyakit kulit /gatal - gatal",PT. Firdaus
Jamu Perawatan Kewanitaan,Rapet Wangi,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,PT. Firdaus
Jamu Kesehatan,bersih darah,"melancarkan peredaran darah di dalam tubuh, membersihkan darah kotor yang ada di dalam tubuh, mengatasi gatal - gatal pada kulit, mengatasi / meringankan bisul, mengobati korengan dan beberapa masalah kulit lainnya, menyembuhkan serta mencegah jerawat",PT. Firdaus
Jamu Kesehatan,kencing manis,"mengobati kencing manis, menurunkan kadar gula seperti sering terasa haus, sering kencing terutama di malam hari",PT. Firdaus
Jamu Pasutri,sari rapet,"menambah gairah hubungan suami istri, mengobati keputihan dan gejalanya seperti berair, berlendir, berbau, merapatkan otot - otot vagina",PT. Firdaus
Jamu Perawatan Kewanitaan,delima putih,"mencegah dan mengobati keputihan seperti muka pucat tidak bergairah sakit pinggang mengurangi lendir serta menghilangkan bau (keringat) kurang sedap, merapatkan vagina pemakaian secara teratur maka wajah bercahaya cantik & awet muda",PT. Firdaus
Jamu Pasutri,empot-empot love,"mengencangkan organ intim (rapet), mengencangkan kulit, menambah libido, atasi payudara kendur, membersihkan bakteri dan jamur (keputihan), mengobati kista, mencegah kanker payudara menguatkan pinggang, melancarkan datang bulan",PT. Firdaus
Jamu Perawatan Kewanitaan,manjakani,"menormalkan hormon estrogen, mengencangkan wajah dan kulit, mengencangkan payudara, mengencangkan otot - otot kewanitaan (rapet), mencegah osteoporosis (tulang keropos), menyembuhkan keputihan, menguatkan pinggang, melancarkan datang bulan",PT. Firdaus
Jamu Kesehatan,gemuk sehat,"menambah nafsu makan, menghambat pertumbuhan sel kanker, meningkatkan daya tahan tubuh, menjaga kesehatan liver, memperbaiki jaringan tubuh yang rusak, membantu melawan bakteri dan jamur di tubuh, menyembuhkan penyakit kuning",PT. Firdaus
Jamu Perawatan Kewanitaan,oil mahabbah,"agar payudara tetap kencang dan montok setelah melahirkan, merawat kesehatan payudara, menghaluskan kulit payudara",PT. Firdaus
Jamu Pasutri,bubuk herbal ajaib,"merapatkan dan mengencangkan otot vagina, mengeringkan miss v yang basah, sama - sama memberikan kenikmatan dan kebahagiaan hubungan suami istri",PT. Firdaus
Jamu Pasutri,butiran putri delima,"merapatkan dan mengencangkan otot vagina, keset / kering agar wanita percaya diri, sama - sama memberikan kenikmatan dan kebahagiaan hubungan suami - istri",PT. Firdaus
Jamu Perawatan Kewanitaan,penyubur kandungan,"menguatkan rahim, menambah hormon menyuburkan kandungan",PT. Firdaus
Jamu Pasutri,setanggi zahra,bermanfaat sebagai aromatherapy menenangkan  hati dan menambah keintiman suami istri,PT. Firdaus
Jamu Kesehatan,timung / mandi uap,"melancarkan peredaran darah, mengeluarkan keringat berlebih, membakar lemak, mengharumkan badan, membuat badan segar, harum dan berseri",PT. Firdaus
Jamu Pasutri,hormolak,"menstabilkan hormon laki - laki yang sangat diperlukan untuk produksi sperma, memberikan suplemen  tambahan sehingga produksi sperma dapat lebih maksimal, mempercepat produksi sperma dan memperbanyak jumlah cairan sperma, menghangatkan badan, mengurangi ejakulasi dini",PT. Firdaus
Jamu Pasutri,lintah hitam papua,"melancarkan sirkulasi darah, mengencangkan otot - otot yang kendur, meningkatkan kejantanan pria, mengobati lemah syahwat, ejakulasi dini, memperbesar dan memperpanjang penis.",PT. Firdaus
Jamu Kesehatan,jamu gemuk sehat,"membantu memperbaiki nafsu makan, menambah berat badan, menyelaraskan alat-alat pencernaan tubuh, menghilangkan letih, lesu, lemah dan kurang bersemangat",ribkah maryam jokotole
Jamu Perawatan Kewanitaan,jamu sepet madura *empot-empot),"membantu mengurangi lendir yang berlebihan pada daerah kewanitaan, memperkuat otot - otot vagina untuk membuat denyut - denyut istimewa pada vagina, mengeraskan otot vagina, menghilangkan keputihan dan gatal - gatal",ribkah maryam jokotole
Jamu Perawatan Kewanitaan,PLUNTUR(TERLAMBAT BULAN),"sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit badan pada waktu datang bulan (dianjurkan untuk keterlambat) yang tidak lebih dari tiga bulan",ribkah maryam jokotole
Jamu Kesehatan,Jamu Tradisional Madura,"amandel, tekanan darah tinggi, asma, kencing batu, liver, alergi, lemah jantung, kurang nafsu makan, asam urat, pegal linu, kencing manis, ginjal, rematik, sakit gigi, maag, eksim, kurang darah",wahyu sejati
Jamu Kesehatan,Lulur Bengkoang,"mengangkat sel-sel kulit mati, menghilangkan jerawat, flek hitam juga memutihkan kulit",IBU MASTURAH
Jamu Perawatan Kewanitaan,pintu surga,bermanfaat untuk perawatan kewanitaan dan juga menuntaskan keputihan,IBU MASTURAH
Jamu Perawatan Kewanitaan,jamu manjakani,"merapatkan vagina, bikin keset untuk keputihan dan juga menyehatkan badan",IBU MASTURAH
Jamu Perawatan Kewanitaan,air cewok,"bikin keset, merapatkan, menghilangkan keputihan juga menghilangkan bau daerah v",IBU MASTURAH
Jamu Perawatan Kewanitaan,jamu melahirkan,ibu dan bayi menjadi sehat dan bugar,H. Mifki
Jamu Pasutri,sehat lelaki,"hubungan suami istri lebih intim, untuk kejantanan lelaki",H. Mifki
Jamu Pasutri,sehat wanita,"untuk keputihan, stamina wanita, hubungan suami istri lebih intim",H. Mifki
Jamu Kesehatan,salekarang,"untuk flu, batuk, sakit gigi, pusing",H. Mifki
Jamu Kesehatan,Kopi racikan madura,"Menjaga organ hati, membantu membersihkan saluran pencernaan, membantu membakar lemak, mencegah penyakit jantung, diabetes",IBU MASTURAH
Jamu Kesehatan,dupa kemanten,"mengharumkan tubuh, baju, juga ruangan. Harumnya lengket sepanjang hari",IBU MASTURAH
Jamu Kesehatan,galian singset,"membantu mengurangi lemak, membuat badan menjadi langsing",ribkah maryam jokotole
Jamu Kesehatan,jamu jerawat,"membantu mengatasi jerawat, menjaga kulit tetap halus bercahaya",ribkah maryam jokotole
Jamu Kesehatan,jamu pelangsing(bobot idaman),"menurunkan berat badan sesuai dengan idaman, menahan bobot badan supaya tidak gemuk berlebihan, mengontrol kadar lemak bagian perut",ribkah maryam jokotole
Jamu Kesehatan,jamu pegel linu,"sangat berkhasiat menyembuhkan pegal - pegal linu otot - otot anda, menyembuhkan penyakit rematik / encok dan sakit pinggang",ribkah maryam jokotole
Jamu Perawatan Kewanitaan,jamu nifas (pluntur),"sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit-sakit badan waktu datang bulan",ribkah maryam jokotole
Jamu Pasutri,sehat lelaki (perkasa lelaki),Memperkuat fungsi lelaki serta meningkatkan ketahanan kejantanan,ribkah maryam jokotole
Jamu Perawatan Kewanitaan,sepet madura(empot-empotan,"membuat denyut - denyut istimewa yang khas, memperkuat otot - otot kewanitaan, menghilangkan bau tidak enak gatal - gatal dan keputihan",ribkah maryam jokotole
Jamu Perawatan Kewanitaan,sehat perempuan(montok payudaya),"mengencangkan payudara, memperbesar payudara yang kurang ideal, menyehatkan dan memperindah payudara",ribkah maryam jokotole
Jamu Perawatan Kewanitaan,sari harum(keputihan),"sangat mujarab dan benar - benar ampuh untuk segala macam keputihan yang lama maupun yang baru. Menghilangkan bau yang tidak enak, gatal - gatal ",ribkah maryam jokotole
Jamu Perawatan Kewanitaan,awet ayu,"membuat dan menjaga kulit tubuh perempuan segar halus dan bercahaya, mengencangkan seluruh otot - otot tubuh anda agar tetap singset. Menjaga tubuh tetap sehat dan segar selalu",ribkah maryam jokotole
Jamu Kesehatan,SUPER SEHAT BURUNG WALET,"Insya Allah sangat ampuh untuk mencegah dan menyembuhkan Rematik, Asam urat, Tekanan darah tinggi, Asma, Maag, Ginjal, Tipes, Cacingan, Sakit gigi, Lemah syahwat, Gatal - gatal alergi, Paru-paru basah, Kurang nafsu makan, Melancarkan Sirkulasi darah, Jerawat, Bisul, Kudis, Panu, Merawat Ms V, Mengatasi keputihan, Merawat dan mengencangkan kulit, Mencegah dan mengatasi penyakit menahun, Kelumpuhan / badan mati separuh seperti Stroke, Kanker, Liver, Kencing manis basah / kencing manis kering, Menjaga dan menambah daya tahan tubuh.",PT.QOMAR JAYA NUSANTARA
