Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
pancuran nikmat,antiseptik kewanitaan tanpa dibilas,Madura Sari,Jamu Perawatan Kewanitaan,35,antiseptik kewanitaan tanpa dibilas,antiseptik kewanitaan tanpa dibilas,"['antiseptik', 'kewanitaan', 'tanpa', 'dibilas']","['antiseptik', 'kewanitaan', 'dibilas']","['antiseptik', 'wanita', 'bilas']"
sabun kesed,sabun khusus wanita untuk mengatasi keputihan,Madura Sari,Jamu Perawatan Kewanitaan,45,sabun khusus wanita untuk mengatasi keputihan,sabun khusus wanita untuk mengatasi keputihan,"['sabun', 'khusus', 'wanita', 'untuk', 'mengatasi', 'keputihan']","['sabun', 'khusus', 'wanita', 'mengatasi', 'keputihan']","['sabun', 'khusus', 'wanita', 'atas', 'putih']"
v-spa rempah,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,Madura Sari,Jamu Perawatan Kewanitaan,71,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,"['detoksifikasi', 'kewanitaan', 'agar', 'bebas', 'keputihan', 'dan', 'bau', 'yang', 'kurang', 'sedap']","['detoksifikasi', 'kewanitaan', 'bebas', 'keputihan', 'bau', 'sedap']","['detoksifikasi', 'wanita', 'bebas', 'putih', 'bau', 'sedap']"
jamu bersalin,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises",Madura Sari,Jamu Perawatan Kewanitaan,117,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan asi dan mencegah timbulnya varises",perawatan khusus pasca melahirkan mengembalikan tubuh seperti semula melancarkan asi dan mencegah timbulnya varises,"['perawatan', 'khusus', 'pasca', 'melahirkan', 'mengembalikan', 'tubuh', 'seperti', 'semula', 'melancarkan', 'asi', 'dan', 'mencegah', 'timbulnya', 'varises']","['perawatan', 'khusus', 'pasca', 'melahirkan', 'mengembalikan', 'tubuh', 'melancarkan', 'asi', 'mencegah', 'timbulnya', 'varises']","['awat', 'khusus', 'pasca', 'lahir', 'kembali', 'tubuh', 'lancar', 'asi', 'cegah', 'timbul', 'varises']"
paket perawatan pranikah,"mengurangi bau badan, membuat kulit bersih dan lebih cerah",Madura Sari,Jamu Kesehatan,58,"mengurangi bau badan, membuat kulit bersih dan lebih cerah",mengurangi bau badan membuat kulit bersih dan lebih cerah,"['mengurangi', 'bau', 'badan', 'membuat', 'kulit', 'bersih', 'dan', 'lebih', 'cerah']","['mengurangi', 'bau', 'badan', 'kulit', 'bersih', 'cerah']","['kurang', 'bau', 'badan', 'kulit', 'bersih', 'cerah']"
1 paket ramuan khusus wanita,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,Madura Sari,Jamu Pasutri,92,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,"['perawatan', 'khusus', 'wanita', 'untuk', 'menjaga', 'tubuh', 'tetap', 'prima', 'dan', 'hubungan', 'suami', 'istri', 'makin', 'mesra']","['perawatan', 'khusus', 'wanita', 'menjaga', 'tubuh', 'prima', 'hubungan', 'suami', 'istri', 'mesra']","['awat', 'khusus', 'wanita', 'jaga', 'tubuh', 'prima', 'hubung', 'suami', 'istri', 'mesra']"
jamu penyubur kandungan,menyuburkan kandungan,Madura Sari,Jamu Perawatan Kewanitaan,21,menyuburkan kandungan,menyuburkan kandungan,"['menyuburkan', 'kandungan']","['menyuburkan', 'kandungan']","['subur', 'kandung']"
cemceman rambut,mengatasi ketombe dan kerontokan rambut,Madura Sari,Jamu Kesehatan,39,mengatasi ketombe dan kerontokan rambut,mengatasi ketombe dan kerontokan rambut,"['mengatasi', 'ketombe', 'dan', 'kerontokan', 'rambut']","['mengatasi', 'ketombe', 'kerontokan', 'rambut']","['atas', 'ketombe', 'rontok', 'rambut']"
minyak bulus,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),Madura Sari,Jamu Pasutri,76,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),mengencangkan kulit dan area khusus intim  baik pria maupun wanita pasutri,"['mengencangkan', 'kulit', 'dan', 'area', 'khusus', 'intim', 'baik', 'pria', 'maupun', 'wanita', 'pasutri']","['mengencangkan', 'kulit', 'area', 'khusus', 'intim', 'pria', 'wanita', 'pasutri']","['encang', 'kulit', 'area', 'khusus', 'intim', 'pria', 'wanita', 'pasutri']"
minyak zaitun,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,Madura Sari,Jamu Kesehatan,65,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,merawat mengencangkan  menghaluskan kulit muka dan seluruh tubuh,"['merawat', 'mengencangkan', 'menghaluskan', 'kulit', 'muka', 'dan', 'seluruh', 'tubuh']","['merawat', 'mengencangkan', 'menghaluskan', 'kulit', 'muka', 'tubuh']","['rawat', 'encang', 'halus', 'kulit', 'muka', 'tubuh']"
lulur rempah,membuat kulit bersih serta tampak lebih cerah,Madura Sari,Jamu Kesehatan,45,membuat kulit bersih serta tampak lebih cerah,membuat kulit bersih serta tampak lebih cerah,"['membuat', 'kulit', 'bersih', 'serta', 'tampak', 'lebih', 'cerah']","['kulit', 'bersih', 'cerah']","['kulit', 'bersih', 'cerah']"
bedak dingin,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori",Madura Sari,Jamu Kesehatan,87,"masker bengkoang untuk mencerahkan wajah, memudarkan bekas jerawat dan mengecilkan pori",masker bengkoang untuk mencerahkan wajah memudarkan bekas jerawat dan mengecilkan pori,"['masker', 'bengkoang', 'untuk', 'mencerahkan', 'wajah', 'memudarkan', 'bekas', 'jerawat', 'dan', 'mengecilkan', 'pori']","['masker', 'bengkoang', 'mencerahkan', 'wajah', 'memudarkan', 'bekas', 'jerawat', 'mengecilkan', 'pori']","['masker', 'bengkoang', 'cerah', 'wajah', 'pudar', 'bekas', 'jerawat', 'kecil', 'pori']"
pegal linu,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah",Madura Sari,Jamu Kesehatan,61,"mengurangi capek, nyeri sendi dan melancarkan peredaran darah",mengurangi capek nyeri sendi dan melancarkan peredaran darah,"['mengurangi', 'capek', 'nyeri', 'sendi', 'dan', 'melancarkan', 'peredaran', 'darah']","['mengurangi', 'capek', 'nyeri', 'sendi', 'melancarkan', 'peredaran', 'darah']","['kurang', 'capek', 'nyeri', 'sendi', 'lancar', 'edar', 'darah']"
jamu pembersih darah,mengatasi gatal gatal dan alergi pada kulit,Madura Sari,Jamu Kesehatan,43,mengatasi gatal gatal dan alergi pada kulit,mengatasi gatal gatal dan alergi pada kulit,"['mengatasi', 'gatal', 'gatal', 'dan', 'alergi', 'pada', 'kulit']","['mengatasi', 'gatal', 'gatal', 'alergi', 'kulit']","['atas', 'gatal', 'gatal', 'alergi', 'kulit']"
jamu kencing manis,menurunkan kadar gula dalam darah,Madura Sari,Jamu Kesehatan,33,menurunkan kadar gula dalam darah,menurunkan kadar gula dalam darah,"['menurunkan', 'kadar', 'gula', 'dalam', 'darah']","['menurunkan', 'kadar', 'gula', 'darah']","['turun', 'kadar', 'gula', 'darah']"
bumbu minuman pokak,minuman herbal dari bahan jahe emprit,Madura Sari,Jamu Kesehatan,37,minuman herbal dari bahan jahe emprit,minuman herbal dari bahan jahe emprit,"['minuman', 'herbal', 'dari', 'bahan', 'jahe', 'emprit']","['minuman', 'herbal', 'bahan', 'jahe', 'emprit']","['minum', 'herbal', 'bahan', 'jahe', 'emprit']"
1 paket jamu suami istri,mengharmoniskan hubungan intim suami istri,Madura Sari,Jamu Pasutri,42,mengharmoniskan hubungan intim suami istri,mengharmoniskan hubungan intim suami istri,"['mengharmoniskan', 'hubungan', 'intim', 'suami', 'istri']","['mengharmoniskan', 'hubungan', 'intim', 'suami', 'istri']","['harmonis', 'hubung', 'intim', 'suami', 'istri']"
Jamu ma'jun super (plus madu),"menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah",Madura Sari,Jamu Pasutri,86,"menambah stamina saat berhubungan , menambah masa otot dan melancarkan peredaran darah",menambah stamina saat berhubungan  menambah masa otot dan melancarkan peredaran darah,"['menambah', 'stamina', 'saat', 'berhubungan', 'menambah', 'masa', 'otot', 'dan', 'melancarkan', 'peredaran', 'darah']","['menambah', 'stamina', 'berhubungan', 'menambah', 'otot', 'melancarkan', 'peredaran', 'darah']","['tambah', 'stamina', 'hubung', 'tambah', 'otot', 'lancar', 'edar', 'darah']"
jamu jantan super,menjaga stamina tubuh agar tetap fit dalam berhubungan,Madura Sari,Jamu Pasutri,54,menjaga stamina tubuh agar tetap fit dalam berhubungan,menjaga stamina tubuh agar tetap fit dalam berhubungan,"['menjaga', 'stamina', 'tubuh', 'agar', 'tetap', 'fit', 'dalam', 'berhubungan']","['menjaga', 'stamina', 'tubuh', 'fit', 'berhubungan']","['jaga', 'stamina', 'tubuh', 'fit', 'hubung']"
jamu aktivitas,penambah stamina khusus pekerja berat. Suplemen khusus untuk menambah stamina pria dalam berhubungan,Madura Sari,Jamu Pasutri,100,penambah stamina khusus pekerja berat. suplemen khusus untuk menambah stamina pria dalam berhubungan,penambah stamina khusus pekerja berat suplemen khusus untuk menambah stamina pria dalam berhubungan,"['penambah', 'stamina', 'khusus', 'pekerja', 'berat', 'suplemen', 'khusus', 'untuk', 'menambah', 'stamina', 'pria', 'dalam', 'berhubungan']","['penambah', 'stamina', 'khusus', 'pekerja', 'berat', 'suplemen', 'khusus', 'menambah', 'stamina', 'pria', 'berhubungan']","['tambah', 'stamina', 'khusus', 'kerja', 'berat', 'suplemen', 'khusus', 'tambah', 'stamina', 'pria', 'hubung']"
jamu darah tinggi,menurunkan tekanan darah tinggi,Madura Sari,Jamu Kesehatan,31,menurunkan tekanan darah tinggi,menurunkan tekanan darah tinggi,"['menurunkan', 'tekanan', 'darah', 'tinggi']","['menurunkan', 'tekanan', 'darah']","['turun', 'tekan', 'darah']"
1 paket ramuan khusus pria,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,Madura Sari,Jamu Pasutri,72,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,suplemen kuat khusus bagi pria untuk menjaga stamina dan kesehatan tubuh,"['suplemen', 'kuat', 'khusus', 'bagi', 'pria', 'untuk', 'menjaga', 'stamina', 'dan', 'kesehatan', 'tubuh']","['suplemen', 'kuat', 'khusus', 'pria', 'menjaga', 'stamina', 'kesehatan', 'tubuh']","['suplemen', 'kuat', 'khusus', 'pria', 'jaga', 'stamina', 'sehat', 'tubuh']"
Jamu Tradisional Madura,"Buat Kesehatan, Bau Badan, Keputihan",Jamu Tradisional Madura,Jamu Perawatan Kewanitaan,36,"buat kesehatan, bau badan, keputihan",buat kesehatan bau badan keputihan,"['buat', 'kesehatan', 'bau', 'badan', 'keputihan']","['kesehatan', 'bau', 'badan', 'keputihan']","['sehat', 'bau', 'badan', 'putih']"
Bom,"Untuk kuat berhubungan, dan Pegal - pegal",Jamu Assegaf,Jamu Pasutri,41,"untuk kuat berhubungan, dan pegal - pegal",untuk kuat berhubungan dan pegal  pegal,"['untuk', 'kuat', 'berhubungan', 'dan', 'pegal', 'pegal']","['kuat', 'berhubungan', 'pegal', 'pegal']","['kuat', 'hubung', 'pegal', 'pegal']"
Jamu Hitam,Untuk segala macam penyakit,Jamu Intan,Jamu Kesehatan,27,untuk segala macam penyakit,untuk segala macam penyakit,"['untuk', 'segala', 'macam', 'penyakit']",['penyakit'],['sakit']
Jamu Pelintiran darah tinggi,"Menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, Menormalkan jantung kembali",Sari Madu,Jamu Kesehatan,92,"menurunkan tekanan darah tinggi, menetralisir sirkulasi jantung, menormalkan jantung kembali",menurunkan tekanan darah tinggi menetralisir sirkulasi jantung menormalkan jantung kembali,"['menurunkan', 'tekanan', 'darah', 'tinggi', 'menetralisir', 'sirkulasi', 'jantung', 'menormalkan', 'jantung', 'kembali']","['menurunkan', 'tekanan', 'darah', 'menetralisir', 'sirkulasi', 'jantung', 'menormalkan', 'jantung']","['turun', 'tekan', 'darah', 'menetralisir', 'sirkulasi', 'jantung', 'normal', 'jantung']"
Empot-empot Super,Memulihkan elastisitas organ intim wanita;  Mengencangkan otot miss V;  Mengencangkan payudara;  Mengencangkan seluruh kulit shg tampak lebih muda;  Menambah gairah dan semangat dalam berhubungan suami istri;  Menghilangkan gatal di miss V,Firdaus Kurnia Indah,Jamu Pasutri,239,memulihkan elastisitas organ intim wanita;  mengencangkan otot miss v;  mengencangkan payudara;  mengencangkan seluruh kulit shg tampak lebih muda;  menambah gairah dan semangat dalam berhubungan suami istri;  menghilangkan gatal di miss v,memulihkan elastisitas organ intim wanita  mengencangkan otot miss v  mengencangkan payudara  mengencangkan seluruh kulit shg tampak lebih muda  menambah gairah dan semangat dalam berhubungan suami istri  menghilangkan gatal di miss v,"['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'mengencangkan', 'otot', 'miss', 'v', 'mengencangkan', 'payudara', 'mengencangkan', 'seluruh', 'kulit', 'shg', 'tampak', 'lebih', 'muda', 'menambah', 'gairah', 'dan', 'semangat', 'dalam', 'berhubungan', 'suami', 'istri', 'menghilangkan', 'gatal', 'di', 'miss', 'v']","['memulihkan', 'elastisitas', 'organ', 'intim', 'wanita', 'mengencangkan', 'otot', 'miss', 'v', 'mengencangkan', 'payudara', 'mengencangkan', 'kulit', 'shg', 'muda', 'menambah', 'gairah', 'semangat', 'berhubungan', 'suami', 'istri', 'menghilangkan', 'gatal', 'miss', 'v']","['pulih', 'elastisitas', 'organ', 'intim', 'wanita', 'encang', 'otot', 'miss', 'v', 'encang', 'payudara', 'encang', 'kulit', 'shg', 'muda', 'tambah', 'gairah', 'semangat', 'hubung', 'suami', 'istri', 'hilang', 'gatal', 'miss', 'v']"
Jamu selokarang,"Menurunkan pusing, panas dalam sakit gigi tenggorokan",Kampung Paseraman Kamal,Jamu Kesehatan,53,"menurunkan pusing, panas dalam sakit gigi tenggorokan",menurunkan pusing panas dalam sakit gigi tenggorokan,"['menurunkan', 'pusing', 'panas', 'dalam', 'sakit', 'gigi', 'tenggorokan']","['menurunkan', 'pusing', 'panas', 'sakit', 'gigi', 'tenggorokan']","['turun', 'pusing', 'panas', 'sakit', 'gigi', 'tenggorok']"
Jamu Bengkes,Awet Muda Wajah Berseri,Njonja Boolan,Jamu Perawatan Kewanitaan,23,awet muda wajah berseri,awet muda wajah berseri,"['awet', 'muda', 'wajah', 'berseri']","['awet', 'muda', 'wajah', 'berseri']","['awet', 'muda', 'wajah', 'seri']"
Empot Ayam Super,Melegitkan dan menghaluskan vagina; Mengencangkan otot kendur setelah melahirkan;  Menghilangkan bau serta gatal;  Mengatasi masalah ibu yang ikut bermacam  KB;  Untuk wanita frigid dan suami istri selalu harmonis; ,Jamu Pusaka Kraton Cakraningrat,Jamu Pasutri,215,melegitkan dan menghaluskan vagina; mengencangkan otot kendur setelah melahirkan;  menghilangkan bau serta gatal;  mengatasi masalah ibu yang ikut bermacam  kb;  untuk wanita frigid dan suami istri selalu harmonis; ,melegitkan dan menghaluskan vagina mengencangkan otot kendur setelah melahirkan  menghilangkan bau serta gatal  mengatasi masalah ibu yang ikut bermacam  kb  untuk wanita frigid dan suami istri selalu harmonis ,"['melegitkan', 'dan', 'menghaluskan', 'vagina', 'mengencangkan', 'otot', 'kendur', 'setelah', 'melahirkan', 'menghilangkan', 'bau', 'serta', 'gatal', 'mengatasi', 'masalah', 'ibu', 'yang', 'ikut', 'bermacam', 'kb', 'untuk', 'wanita', 'frigid', 'dan', 'suami', 'istri', 'selalu', 'harmonis']","['melegitkan', 'menghaluskan', 'vagina', 'mengencangkan', 'otot', 'kendur', 'melahirkan', 'menghilangkan', 'bau', 'gatal', 'mengatasi', 'kb', 'wanita', 'frigid', 'suami', 'istri', 'harmonis']","['legit', 'halus', 'vagina', 'encang', 'otot', 'kendur', 'lahir', 'hilang', 'bau', 'gatal', 'atas', 'kb', 'wanita', 'frigid', 'suami', 'istri', 'harmonis']"
Jamu Delima Putih,Mengatasi keputihan / pektay,Jamu Putri Bangkalan,Jamu Perawatan Kewanitaan,28,mengatasi keputihan / pektay,mengatasi keputihan  pektay,"['mengatasi', 'keputihan', 'pektay']","['mengatasi', 'keputihan', 'pektay']","['atas', 'putih', 'pektay']"
Sariawan Sekalor,"Menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeien , demam, kolesterol dan mendetox darah.",Mustika Madura,Jamu Kesehatan,128,"menyembuhkan radang gusi, radang tenggorokan, sakit gigi, sakit kepala, amandel, ambeien , demam, kolesterol dan mendetox darah.",menyembuhkan radang gusi radang tenggorokan sakit gigi sakit kepala amandel ambeien  demam kolesterol dan mendetox darah,"['menyembuhkan', 'radang', 'gusi', 'radang', 'tenggorokan', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'dan', 'mendetox', 'darah']","['menyembuhkan', 'radang', 'gusi', 'radang', 'tenggorokan', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'mendetox', 'darah']","['sembuh', 'radang', 'gusi', 'radang', 'tenggorok', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'mendetox', 'darah']"
Galian Singset ( Susut Perut),"Melangsingkan badan, mengecilkan dan mengencangkan perut kendur, memadatkan tubuh,melancarkan BAB, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.",Mustika Madura,Jamu Kesehatan,166,"melangsingkan badan, mengecilkan dan mengencangkan perut kendur, memadatkan tubuh,melancarkan bab, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.",melangsingkan badan mengecilkan dan mengencangkan perut kendur memadatkan tubuhmelancarkan bab membuat wajah segar dan tidak mudah keriput menghilangkan selulit,"['melangsingkan', 'badan', 'mengecilkan', 'dan', 'mengencangkan', 'perut', 'kendur', 'memadatkan', 'tubuhmelancarkan', 'bab', 'membuat', 'wajah', 'segar', 'dan', 'tidak', 'mudah', 'keriput', 'menghilangkan', 'selulit']","['melangsingkan', 'badan', 'mengecilkan', 'mengencangkan', 'perut', 'kendur', 'memadatkan', 'tubuhmelancarkan', 'bab', 'wajah', 'segar', 'mudah', 'keriput', 'menghilangkan', 'selulit']","['langsing', 'badan', 'kecil', 'encang', 'perut', 'kendur', 'madat', 'tubuhmelancarkan', 'bab', 'wajah', 'segar', 'mudah', 'keriput', 'hilang', 'selulit']"
Sehat Laki-laki Perkasa,"Menambah stamina dan juga menambah hormon, Menghilangkan capek, Menjaga tubuh tetap perkasa, Tidak mudah masuk angin, Mengentalkan sperma, Mencegah ejakulasi dini.",Mustika Madura,Jamu Pasutri,163,"menambah stamina dan juga menambah hormon, menghilangkan capek, menjaga tubuh tetap perkasa, tidak mudah masuk angin, mengentalkan sperma, mencegah ejakulasi dini.",menambah stamina dan juga menambah hormon menghilangkan capek menjaga tubuh tetap perkasa tidak mudah masuk angin mengentalkan sperma mencegah ejakulasi dini,"['menambah', 'stamina', 'dan', 'juga', 'menambah', 'hormon', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'tetap', 'perkasa', 'tidak', 'mudah', 'masuk', 'angin', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'dini']","['menambah', 'stamina', 'menambah', 'hormon', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'perkasa', 'mudah', 'masuk', 'angin', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi']","['tambah', 'stamina', 'tambah', 'hormon', 'hilang', 'capek', 'jaga', 'tubuh', 'perkasa', 'mudah', 'masuk', 'angin', 'kental', 'sperma', 'cegah', 'ejakulasi']"
Sari Rapet Empot-Empot,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / gatal disebabkan bakteri, Merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.",Mustika Madura,Jamu Pasutri,163,"mengharumkan bagian kewanitaan, menyembuhkan keputihan / gatal disebabkan bakteri, merapatkan vagina, mengencangkan otot rahim, menambah keharmonisan rumah tangga.",mengharumkan bagian kewanitaan menyembuhkan keputihan  gatal disebabkan bakteri merapatkan vagina mengencangkan otot rahim menambah keharmonisan rumah tangga,"['mengharumkan', 'bagian', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['mengharumkan', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['harum', 'wanita', 'sembuh', 'putih', 'gatal', 'sebab', 'bakteri', 'rapat', 'vagina', 'encang', 'otot', 'rahim', 'tambah', 'harmonis', 'rumah', 'tangga']"
Pluntur(Pelancar Darah),"Melancarkan darah, menghilangkan pegal linu, menjaga stamina tubuh, mengurangi angka kelahiran.",Mustika Madura,Jamu Kesehatan,95,"melancarkan darah, menghilangkan pegal linu, menjaga stamina tubuh, mengurangi angka kelahiran.",melancarkan darah menghilangkan pegal linu menjaga stamina tubuh mengurangi angka kelahiran,"['melancarkan', 'darah', 'menghilangkan', 'pegal', 'linu', 'menjaga', 'stamina', 'tubuh', 'mengurangi', 'angka', 'kelahiran']","['melancarkan', 'darah', 'menghilangkan', 'pegal', 'linu', 'menjaga', 'stamina', 'tubuh', 'mengurangi', 'angka', 'kelahiran']","['lancar', 'darah', 'hilang', 'pegal', 'linu', 'jaga', 'stamina', 'tubuh', 'kurang', 'angka', 'lahir']"
