Kategori,Nama,Khasiat,Produsen,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Jamu Perawatan Kewanitaan,GALIAN MONTOK,"membantu mengobati buah dada yang kecil supaya jadi montok dan besar, buah dada menjadi padat berisi",TRESNA,"membantu mengobati buah dada yang kecil supaya jadi montok dan besar, buah dada menjadi padat berisi",membantu mengobati buah dada yang kecil supaya jadi montok dan besar buah dada menjadi padat berisi,"['membantu', 'mengobati', 'buah', 'dada', 'yang', 'kecil', 'supaya', 'jadi', 'montok', 'dan', 'besar', 'buah', 'dada', 'menjadi', 'padat', 'berisi']","['membantu', 'mengobati', 'buah', 'dada', 'montok', 'buah', 'dada', 'padat', 'berisi']","['bantu', 'obat', 'buah', 'dada', 'montok', 'buah', 'dada', 'padat', 'isi']"
Jamu Kesehatan,BERSIH JERAWAT,"membantu mengatasi / membersihkan jerawat, mencegah timbulnya jerawat, memelihara wajah agar tetap halus",TRESNA,"membantu mengatasi / membersihkan jerawat, mencegah timbulnya jerawat, memelihara wajah agar tetap halus",membantu mengatasi  membersihkan jerawat mencegah timbulnya jerawat memelihara wajah agar tetap halus,"['membantu', 'mengatasi', 'membersihkan', 'jerawat', 'mencegah', 'timbulnya', 'jerawat', 'memelihara', 'wajah', 'agar', 'tetap', 'halus']","['membantu', 'mengatasi', 'membersihkan', 'jerawat', 'mencegah', 'timbulnya', 'jerawat', 'memelihara', 'wajah', 'halus']","['bantu', 'atas', 'bersih', 'jerawat', 'cegah', 'timbul', 'jerawat', 'pelihara', 'wajah', 'halus']"
Jamu Perawatan Kewanitaan,AWET AYU,"mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput, memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata, membantu mengatasi penyakit keputihan, menghilangkan bau badan, merapatkan vagina, menjaga organ kewanitaan tetap bersih, mengurangi dan menghilangkan rasa sakit serta menjelang haid",TRESNA,"mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput, memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata, membantu mengatasi penyakit keputihan, menghilangkan bau badan, merapatkan vagina, menjaga organ kewanitaan tetap bersih, mengurangi dan menghilangkan rasa sakit serta menjelang haid",mengandung formula anti aging yang berguna untuk menghambat proses penuaan seperti mengurangi keriput memudarkan lingkaran hitam di mata dan dapat mengurangi kantung mata membantu mengatasi penyakit keputihan menghilangkan bau badan merapatkan vagina menjaga organ kewanitaan tetap bersih mengurangi dan menghilangkan rasa sakit serta menjelang haid,"['mengandung', 'formula', 'anti', 'aging', 'yang', 'berguna', 'untuk', 'menghambat', 'proses', 'penuaan', 'seperti', 'mengurangi', 'keriput', 'memudarkan', 'lingkaran', 'hitam', 'di', 'mata', 'dan', 'dapat', 'mengurangi', 'kantung', 'mata', 'membantu', 'mengatasi', 'penyakit', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina', 'menjaga', 'organ', 'kewanitaan', 'tetap', 'bersih', 'mengurangi', 'dan', 'menghilangkan', 'rasa', 'sakit', 'serta', 'menjelang', 'haid']","['mengandung', 'formula', 'anti', 'aging', 'berguna', 'menghambat', 'proses', 'penuaan', 'mengurangi', 'keriput', 'memudarkan', 'lingkaran', 'hitam', 'mata', 'mengurangi', 'kantung', 'mata', 'membantu', 'mengatasi', 'penyakit', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina', 'menjaga', 'organ', 'kewanitaan', 'bersih', 'mengurangi', 'menghilangkan', 'sakit', 'menjelang', 'haid']","['kandung', 'formula', 'anti', 'aging', 'guna', 'hambat', 'proses', 'tua', 'kurang', 'keriput', 'pudar', 'lingkar', 'hitam', 'mata', 'kurang', 'kantung', 'mata', 'bantu', 'atas', 'sakit', 'putih', 'hilang', 'bau', 'badan', 'rapat', 'vagina', 'jaga', 'organ', 'wanita', 'bersih', 'kurang', 'hilang', 'sakit', 'jelang', 'haid']"
Jamu Pasutri,PANYAMAN,"untuk mengatasi kurang gairah, mengencangkan otot - otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran - getaran apabila ada sentuhan",TRESNA,"untuk mengatasi kurang gairah, mengencangkan otot - otot rahim dan sekitarnya, vagina menjadi keset dan sensitif, membantu para wanita agar lebih cepat mencapai orgasme, memberi getaran - getaran apabila ada sentuhan",untuk mengatasi kurang gairah mengencangkan otot  otot rahim dan sekitarnya vagina menjadi keset dan sensitif membantu para wanita agar lebih cepat mencapai orgasme memberi getaran  getaran apabila ada sentuhan,"['untuk', 'mengatasi', 'kurang', 'gairah', 'mengencangkan', 'otot', 'otot', 'rahim', 'dan', 'sekitarnya', 'vagina', 'menjadi', 'keset', 'dan', 'sensitif', 'membantu', 'para', 'wanita', 'agar', 'lebih', 'cepat', 'mencapai', 'orgasme', 'memberi', 'getaran', 'getaran', 'apabila', 'ada', 'sentuhan']","['mengatasi', 'gairah', 'mengencangkan', 'otot', 'otot', 'rahim', 'vagina', 'keset', 'sensitif', 'membantu', 'wanita', 'cepat', 'mencapai', 'orgasme', 'getaran', 'getaran', 'sentuhan']","['atas', 'gairah', 'encang', 'otot', 'otot', 'rahim', 'vagina', 'keset', 'sensitif', 'bantu', 'wanita', 'cepat', 'capai', 'orgasme', 'getar', 'getar', 'sentuh']"
Jamu Pasutri,JAMU PERKASA,"mencegah ejakulasi dini, menambah daya tahan lama pria, menambah tenaga dan gairah keperkasaan pria, menambah kesehatan dan kebugaran",TRESNA,"mencegah ejakulasi dini, menambah daya tahan lama pria, menambah tenaga dan gairah keperkasaan pria, menambah kesehatan dan kebugaran",mencegah ejakulasi dini menambah daya tahan lama pria menambah tenaga dan gairah keperkasaan pria menambah kesehatan dan kebugaran,"['mencegah', 'ejakulasi', 'dini', 'menambah', 'daya', 'tahan', 'lama', 'pria', 'menambah', 'tenaga', 'dan', 'gairah', 'keperkasaan', 'pria', 'menambah', 'kesehatan', 'dan', 'kebugaran']","['mencegah', 'ejakulasi', 'menambah', 'daya', 'tahan', 'pria', 'menambah', 'tenaga', 'gairah', 'keperkasaan', 'pria', 'menambah', 'kesehatan', 'kebugaran']","['cegah', 'ejakulasi', 'tambah', 'daya', 'tahan', 'pria', 'tambah', 'tenaga', 'gairah', 'perkasa', 'pria', 'tambah', 'sehat', 'bugar']"
Jamu Kesehatan,peluntur &pelangsing,"mengurangi lemak dalam tubuh terutama di perut yang gendut, mengencangkan otot - otot yang kendur, memelihara tubuh agar tetap langsing padat dan ideal secara alami",TRESNA,"mengurangi lemak dalam tubuh terutama di perut yang gendut, mengencangkan otot - otot yang kendur, memelihara tubuh agar tetap langsing padat dan ideal secara alami",mengurangi lemak dalam tubuh terutama di perut yang gendut mengencangkan otot  otot yang kendur memelihara tubuh agar tetap langsing padat dan ideal secara alami,"['mengurangi', 'lemak', 'dalam', 'tubuh', 'terutama', 'di', 'perut', 'yang', 'gendut', 'mengencangkan', 'otot', 'otot', 'yang', 'kendur', 'memelihara', 'tubuh', 'agar', 'tetap', 'langsing', 'padat', 'dan', 'ideal', 'secara', 'alami']","['mengurangi', 'lemak', 'tubuh', 'perut', 'gendut', 'mengencangkan', 'otot', 'otot', 'kendur', 'memelihara', 'tubuh', 'langsing', 'padat', 'ideal', 'alami']","['kurang', 'lemak', 'tubuh', 'perut', 'gendut', 'encang', 'otot', 'otot', 'kendur', 'pelihara', 'tubuh', 'langsing', 'padat', 'ideal', 'alami']"
Jamu Kesehatan,BEDAK SARI,pengharum tubuh,TRESNA,pengharum tubuh,pengharum tubuh,"['pengharum', 'tubuh']","['pengharum', 'tubuh']","['harum', 'tubuh']"
Jamu Kesehatan,HABBATUS SAUDA,"menjaga stamina, memperkuat daya konsentrasi, anti bakteri, mengatasi infeksi, menghangatkan dan melegakan saluran pernafasan, meringankan gejala batuk pilek, menurunkan demam, membantu mempercepat penyembuhan penyakit, membantu mengatasi maag, mengeluarkan masuk angin dan kembung",TRESNA,"menjaga stamina, memperkuat daya konsentrasi, anti bakteri, mengatasi infeksi, menghangatkan dan melegakan saluran pernafasan, meringankan gejala batuk pilek, menurunkan demam, membantu mempercepat penyembuhan penyakit, membantu mengatasi maag, mengeluarkan masuk angin dan kembung",menjaga stamina memperkuat daya konsentrasi anti bakteri mengatasi infeksi menghangatkan dan melegakan saluran pernafasan meringankan gejala batuk pilek menurunkan demam membantu mempercepat penyembuhan penyakit membantu mengatasi maag mengeluarkan masuk angin dan kembung,"['menjaga', 'stamina', 'memperkuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'mengatasi', 'infeksi', 'menghangatkan', 'dan', 'melegakan', 'saluran', 'pernafasan', 'meringankan', 'gejala', 'batuk', 'pilek', 'menurunkan', 'demam', 'membantu', 'mempercepat', 'penyembuhan', 'penyakit', 'membantu', 'mengatasi', 'maag', 'mengeluarkan', 'masuk', 'angin', 'dan', 'kembung']","['menjaga', 'stamina', 'memperkuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'mengatasi', 'infeksi', 'menghangatkan', 'melegakan', 'saluran', 'pernafasan', 'meringankan', 'gejala', 'batuk', 'pilek', 'menurunkan', 'demam', 'membantu', 'mempercepat', 'penyembuhan', 'penyakit', 'membantu', 'mengatasi', 'maag', 'mengeluarkan', 'masuk', 'angin', 'kembung']","['jaga', 'stamina', 'kuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'atas', 'infeksi', 'hangat', 'lega', 'salur', 'nafas', 'ringan', 'gejala', 'batuk', 'pilek', 'turun', 'demam', 'bantu', 'cepat', 'sembuh', 'sakit', 'bantu', 'atas', 'maag', 'keluar', 'masuk', 'angin', 'kembung']"
Jamu Kesehatan,SELEDRI MIX,untuk mengatasi asam urat,NATURNA,untuk mengatasi asam urat,untuk mengatasi asam urat,"['untuk', 'mengatasi', 'asam', 'urat']","['mengatasi', 'asam', 'urat']","['atas', 'asam', 'urat']"
Jamu Kesehatan,KUNYIT ASEM,"meningkatkan daya tahan tubuh, menjaga stamina, menghilangkan bau badan, melancarkan datang bulan, menghaluskan kulit, mencegah penuaan dini, mencegah diare",NATURNA,"meningkatkan daya tahan tubuh, menjaga stamina, menghilangkan bau badan, melancarkan datang bulan, menghaluskan kulit, mencegah penuaan dini, mencegah diare",meningkatkan daya tahan tubuh menjaga stamina menghilangkan bau badan melancarkan datang bulan menghaluskan kulit mencegah penuaan dini mencegah diare,"['meningkatkan', 'daya', 'tahan', 'tubuh', 'menjaga', 'stamina', 'menghilangkan', 'bau', 'badan', 'melancarkan', 'datang', 'bulan', 'menghaluskan', 'kulit', 'mencegah', 'penuaan', 'dini', 'mencegah', 'diare']","['meningkatkan', 'daya', 'tahan', 'tubuh', 'menjaga', 'stamina', 'menghilangkan', 'bau', 'badan', 'melancarkan', 'menghaluskan', 'kulit', 'mencegah', 'penuaan', 'mencegah', 'diare']","['tingkat', 'daya', 'tahan', 'tubuh', 'jaga', 'stamina', 'hilang', 'bau', 'badan', 'lancar', 'halus', 'kulit', 'cegah', 'tua', 'cegah', 'diare']"
Jamu Kesehatan,TEMU LAWAK,"mengatasi maag, mengatasi radang sendi, menghilangkan bau badan, mengatasi diare, mengatasi kolesterol, melancarkan pencernaan, mencegah penuaan dini, anti kanker, menyehatkan liver dan ginjal",NATURNA,"mengatasi maag, mengatasi radang sendi, menghilangkan bau badan, mengatasi diare, mengatasi kolesterol, melancarkan pencernaan, mencegah penuaan dini, anti kanker, menyehatkan liver dan ginjal",mengatasi maag mengatasi radang sendi menghilangkan bau badan mengatasi diare mengatasi kolesterol melancarkan pencernaan mencegah penuaan dini anti kanker menyehatkan liver dan ginjal,"['mengatasi', 'maag', 'mengatasi', 'radang', 'sendi', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'diare', 'mengatasi', 'kolesterol', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan', 'dini', 'anti', 'kanker', 'menyehatkan', 'liver', 'dan', 'ginjal']","['mengatasi', 'maag', 'mengatasi', 'radang', 'sendi', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'diare', 'mengatasi', 'kolesterol', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan', 'anti', 'kanker', 'menyehatkan', 'liver', 'ginjal']","['atas', 'maag', 'atas', 'radang', 'sendi', 'hilang', 'bau', 'badan', 'atas', 'diare', 'atas', 'kolesterol', 'lancar', 'cerna', 'cegah', 'tua', 'anti', 'kanker', 'sehat', 'liver', 'ginjal']"
Jamu Kesehatan,BERAS KENCUR,"mengatasi batuk pilek, meredakan hidung tersumbat, menambah nafsu makan, mengatasi sakit maag, meningkatkan imun tubuh",NATURNA,"mengatasi batuk pilek, meredakan hidung tersumbat, menambah nafsu makan, mengatasi sakit maag, meningkatkan imun tubuh",mengatasi batuk pilek meredakan hidung tersumbat menambah nafsu makan mengatasi sakit maag meningkatkan imun tubuh,"['mengatasi', 'batuk', 'pilek', 'meredakan', 'hidung', 'tersumbat', 'menambah', 'nafsu', 'makan', 'mengatasi', 'sakit', 'maag', 'meningkatkan', 'imun', 'tubuh']","['mengatasi', 'batuk', 'pilek', 'meredakan', 'hidung', 'tersumbat', 'menambah', 'nafsu', 'makan', 'mengatasi', 'sakit', 'maag', 'meningkatkan', 'imun', 'tubuh']","['atas', 'batuk', 'pilek', 'reda', 'hidung', 'sumbat', 'tambah', 'nafsu', 'makan', 'atas', 'sakit', 'maag', 'tingkat', 'imun', 'tubuh']"
Jamu Kesehatan,SIRIH PINANG,"menjaga kesehatan gigi, mencegah sariawan, menghilangkan bau mulut, menghilangkan bau badan, mengatasi keputihan, melancarkan pencernaan, mencegah gusi berdarah",NATURNA,"menjaga kesehatan gigi, mencegah sariawan, menghilangkan bau mulut, menghilangkan bau badan, mengatasi keputihan, melancarkan pencernaan, mencegah gusi berdarah",menjaga kesehatan gigi mencegah sariawan menghilangkan bau mulut menghilangkan bau badan mengatasi keputihan melancarkan pencernaan mencegah gusi berdarah,"['menjaga', 'kesehatan', 'gigi', 'mencegah', 'sariawan', 'menghilangkan', 'bau', 'mulut', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'keputihan', 'melancarkan', 'pencernaan', 'mencegah', 'gusi', 'berdarah']","['menjaga', 'kesehatan', 'gigi', 'mencegah', 'sariawan', 'menghilangkan', 'bau', 'mulut', 'menghilangkan', 'bau', 'badan', 'mengatasi', 'keputihan', 'melancarkan', 'pencernaan', 'mencegah', 'gusi', 'berdarah']","['jaga', 'sehat', 'gigi', 'cegah', 'sariawan', 'hilang', 'bau', 'mulut', 'hilang', 'bau', 'badan', 'atas', 'putih', 'lancar', 'cerna', 'cegah', 'gusi', 'darah']"
Jamu Kesehatan,POKA',"mengatasi masuk angin, mual, pusing, meredakan nyeri sendi, meningkatkan imun tubuh, mencegah penuaan dini, anti kanker, mencegah kolesterol",NATURNA,"mengatasi masuk angin, mual, pusing, meredakan nyeri sendi, meningkatkan imun tubuh, mencegah penuaan dini, anti kanker, mencegah kolesterol",mengatasi masuk angin mual pusing meredakan nyeri sendi meningkatkan imun tubuh mencegah penuaan dini anti kanker mencegah kolesterol,"['mengatasi', 'masuk', 'angin', 'mual', 'pusing', 'meredakan', 'nyeri', 'sendi', 'meningkatkan', 'imun', 'tubuh', 'mencegah', 'penuaan', 'dini', 'anti', 'kanker', 'mencegah', 'kolesterol']","['mengatasi', 'masuk', 'angin', 'mual', 'pusing', 'meredakan', 'nyeri', 'sendi', 'meningkatkan', 'imun', 'tubuh', 'mencegah', 'penuaan', 'anti', 'kanker', 'mencegah', 'kolesterol']","['atas', 'masuk', 'angin', 'mual', 'pusing', 'reda', 'nyeri', 'sendi', 'tingkat', 'imun', 'tubuh', 'cegah', 'tua', 'anti', 'kanker', 'cegah', 'kolesterol']"
Jamu Kesehatan,BUNGA TELANG,"menyehatkan mata, menyehatkan otak, menghaluskan kulit, melancarkan pencernaan, mencegah penuaan dini",NATURNA,"menyehatkan mata, menyehatkan otak, menghaluskan kulit, melancarkan pencernaan, mencegah penuaan dini",menyehatkan mata menyehatkan otak menghaluskan kulit melancarkan pencernaan mencegah penuaan dini,"['menyehatkan', 'mata', 'menyehatkan', 'otak', 'menghaluskan', 'kulit', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan', 'dini']","['menyehatkan', 'mata', 'menyehatkan', 'otak', 'menghaluskan', 'kulit', 'melancarkan', 'pencernaan', 'mencegah', 'penuaan']","['sehat', 'mata', 'sehat', 'otak', 'halus', 'kulit', 'lancar', 'cerna', 'cegah', 'tua']"
Jamu Kesehatan,jahe merah instant,"untuk mengobati masuk angin, pusing,dan mual",NATURNA,"untuk mengobati masuk angin, pusing,dan mual",untuk mengobati masuk angin pusingdan mual,"['untuk', 'mengobati', 'masuk', 'angin', 'pusingdan', 'mual']","['mengobati', 'masuk', 'angin', 'pusingdan', 'mual']","['obat', 'masuk', 'angin', 'pusingdan', 'mual']"
Jamu Perawatan Kewanitaan,Empot wangi,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,PT. Firdaus,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,"['membantu', 'mengurangi', 'lendir', 'yang', 'berlebihan', 'pada', 'daerah', 'kewanitaan']","['membantu', 'mengurangi', 'lendir', 'daerah', 'kewanitaan']","['bantu', 'kurang', 'lendir', 'daerah', 'wanita']"
Jamu Perawatan Kewanitaan,Galian singset ++,"mengurangi kelebihan lemak (kolesterol) dalam tubuh, mengecilkan perut, menjaga bentuk tubuh yang ideal, menjaga penampilan selalu awet muda, membantu mengurangi lemak di tubuh, melangsingkan badan, membuat tampil seksi dan percaya diri, menormalkan BAB yang tidak lancar",PT. Firdaus,"mengurangi kelebihan lemak (kolesterol) dalam tubuh, mengecilkan perut, menjaga bentuk tubuh yang ideal, menjaga penampilan selalu awet muda, membantu mengurangi lemak di tubuh, melangsingkan badan, membuat tampil seksi dan percaya diri, menormalkan bab yang tidak lancar",mengurangi kelebihan lemak kolesterol dalam tubuh mengecilkan perut menjaga bentuk tubuh yang ideal menjaga penampilan selalu awet muda membantu mengurangi lemak di tubuh melangsingkan badan membuat tampil seksi dan percaya diri menormalkan bab yang tidak lancar,"['mengurangi', 'kelebihan', 'lemak', 'kolesterol', 'dalam', 'tubuh', 'mengecilkan', 'perut', 'menjaga', 'bentuk', 'tubuh', 'yang', 'ideal', 'menjaga', 'penampilan', 'selalu', 'awet', 'muda', 'membantu', 'mengurangi', 'lemak', 'di', 'tubuh', 'melangsingkan', 'badan', 'membuat', 'tampil', 'seksi', 'dan', 'percaya', 'diri', 'menormalkan', 'bab', 'yang', 'tidak', 'lancar']","['mengurangi', 'kelebihan', 'lemak', 'kolesterol', 'tubuh', 'mengecilkan', 'perut', 'menjaga', 'bentuk', 'tubuh', 'ideal', 'menjaga', 'penampilan', 'awet', 'muda', 'membantu', 'mengurangi', 'lemak', 'tubuh', 'melangsingkan', 'badan', 'tampil', 'seksi', 'percaya', 'menormalkan', 'bab', 'lancar']","['kurang', 'lebih', 'lemak', 'kolesterol', 'tubuh', 'kecil', 'perut', 'jaga', 'bentuk', 'tubuh', 'ideal', 'jaga', 'tampil', 'awet', 'muda', 'bantu', 'kurang', 'lemak', 'tubuh', 'langsing', 'badan', 'tampil', 'seksi', 'percaya', 'normal', 'bab', 'lancar']"
Jamu Perawatan Kewanitaan,asi booster,"melancarkan asi, menyegarkan badan muka tidak pucat, menyehatkan ibu dan bayi yang dilahirkan, menuntaskan sisa darah, meningkatkan kualitas nutrisi dalam asi",PT. Firdaus,"melancarkan asi, menyegarkan badan muka tidak pucat, menyehatkan ibu dan bayi yang dilahirkan, menuntaskan sisa darah, meningkatkan kualitas nutrisi dalam asi",melancarkan asi menyegarkan badan muka tidak pucat menyehatkan ibu dan bayi yang dilahirkan menuntaskan sisa darah meningkatkan kualitas nutrisi dalam asi,"['melancarkan', 'asi', 'menyegarkan', 'badan', 'muka', 'tidak', 'pucat', 'menyehatkan', 'ibu', 'dan', 'bayi', 'yang', 'dilahirkan', 'menuntaskan', 'sisa', 'darah', 'meningkatkan', 'kualitas', 'nutrisi', 'dalam', 'asi']","['melancarkan', 'asi', 'menyegarkan', 'badan', 'muka', 'pucat', 'menyehatkan', 'bayi', 'dilahirkan', 'menuntaskan', 'sisa', 'darah', 'meningkatkan', 'kualitas', 'nutrisi', 'asi']","['lancar', 'asi', 'segar', 'badan', 'muka', 'pucat', 'sehat', 'bayi', 'lahir', 'tuntas', 'sisa', 'darah', 'tingkat', 'kualitas', 'nutrisi', 'asi']"
Jamu Perawatan Kewanitaan,gadis remaja,"menghilangkan bau badan yang kurang sedap, mencegah timbulnya jerawat, menyembuhkan keputihan, menjaga bentuk tubuh tetap ideal",PT. Firdaus,"menghilangkan bau badan yang kurang sedap, mencegah timbulnya jerawat, menyembuhkan keputihan, menjaga bentuk tubuh tetap ideal",menghilangkan bau badan yang kurang sedap mencegah timbulnya jerawat menyembuhkan keputihan menjaga bentuk tubuh tetap ideal,"['menghilangkan', 'bau', 'badan', 'yang', 'kurang', 'sedap', 'mencegah', 'timbulnya', 'jerawat', 'menyembuhkan', 'keputihan', 'menjaga', 'bentuk', 'tubuh', 'tetap', 'ideal']","['menghilangkan', 'bau', 'badan', 'sedap', 'mencegah', 'timbulnya', 'jerawat', 'menyembuhkan', 'keputihan', 'menjaga', 'bentuk', 'tubuh', 'ideal']","['hilang', 'bau', 'badan', 'sedap', 'cegah', 'timbul', 'jerawat', 'sembuh', 'putih', 'jaga', 'bentuk', 'tubuh', 'ideal']"
Jamu Pasutri,empot-empot,"menambah kemesraan dan keharmonisan keluarga, kembali muda bagaikan gadis remaja, membuat suami makin sayang sama istri, kenikmatan dan kepuasan selalu menjelma",PT. Firdaus,"menambah kemesraan dan keharmonisan keluarga, kembali muda bagaikan gadis remaja, membuat suami makin sayang sama istri, kenikmatan dan kepuasan selalu menjelma",menambah kemesraan dan keharmonisan keluarga kembali muda bagaikan gadis remaja membuat suami makin sayang sama istri kenikmatan dan kepuasan selalu menjelma,"['menambah', 'kemesraan', 'dan', 'keharmonisan', 'keluarga', 'kembali', 'muda', 'bagaikan', 'gadis', 'remaja', 'membuat', 'suami', 'makin', 'sayang', 'sama', 'istri', 'kenikmatan', 'dan', 'kepuasan', 'selalu', 'menjelma']","['menambah', 'kemesraan', 'keharmonisan', 'keluarga', 'muda', 'gadis', 'remaja', 'suami', 'sayang', 'istri', 'kenikmatan', 'kepuasan', 'menjelma']","['tambah', 'mesra', 'harmonis', 'keluarga', 'muda', 'gadis', 'remaja', 'suami', 'sayang', 'istri', 'nikmat', 'puas', 'jelma']"
Jamu Pasutri,sehat lelaki,"menambah semangat stamina saat berhubungan dan kesehatan, menguatkan dan menghangatkan badan, pegal linu otot kaku dan lesu",PT. Firdaus,"menambah semangat stamina saat berhubungan dan kesehatan, menguatkan dan menghangatkan badan, pegal linu otot kaku dan lesu",menambah semangat stamina saat berhubungan dan kesehatan menguatkan dan menghangatkan badan pegal linu otot kaku dan lesu,"['menambah', 'semangat', 'stamina', 'saat', 'berhubungan', 'dan', 'kesehatan', 'menguatkan', 'dan', 'menghangatkan', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'dan', 'lesu']","['menambah', 'semangat', 'stamina', 'berhubungan', 'kesehatan', 'menguatkan', 'menghangatkan', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'lesu']","['tambah', 'semangat', 'stamina', 'hubung', 'sehat', 'kuat', 'hangat', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'lesu']"
Jamu Pasutri,rapet harum asmara,"merapatkan dan melenturkan miss v, mengatasi bau tak sedap, serta gatal - gatal disekitar organ intim, mengatasi cairan berlebih, mengharumkan area vagina, menjaga keharmonisan hubungan suami istri, menyembuhkan keputihan, serta gejalanya",PT. Firdaus,"merapatkan dan melenturkan miss v, mengatasi bau tak sedap, serta gatal - gatal disekitar organ intim, mengatasi cairan berlebih, mengharumkan area vagina, menjaga keharmonisan hubungan suami istri, menyembuhkan keputihan, serta gejalanya",merapatkan dan melenturkan miss v mengatasi bau tak sedap serta gatal  gatal disekitar organ intim mengatasi cairan berlebih mengharumkan area vagina menjaga keharmonisan hubungan suami istri menyembuhkan keputihan serta gejalanya,"['merapatkan', 'dan', 'melenturkan', 'miss', 'v', 'mengatasi', 'bau', 'tak', 'sedap', 'serta', 'gatal', 'gatal', 'disekitar', 'organ', 'intim', 'mengatasi', 'cairan', 'berlebih', 'mengharumkan', 'area', 'vagina', 'menjaga', 'keharmonisan', 'hubungan', 'suami', 'istri', 'menyembuhkan', 'keputihan', 'serta', 'gejalanya']","['merapatkan', 'melenturkan', 'miss', 'v', 'mengatasi', 'bau', 'sedap', 'gatal', 'gatal', 'disekitar', 'organ', 'intim', 'mengatasi', 'cairan', 'berlebih', 'mengharumkan', 'area', 'vagina', 'menjaga', 'keharmonisan', 'hubungan', 'suami', 'istri', 'menyembuhkan', 'keputihan', 'gejalanya']","['rapat', 'lentur', 'miss', 'v', 'atas', 'bau', 'sedap', 'gatal', 'gatal', 'sekitar', 'organ', 'intim', 'atas', 'cair', 'lebih', 'harum', 'area', 'vagina', 'jaga', 'harmonis', 'hubung', 'suami', 'istri', 'sembuh', 'putih', 'gejala']"
Jamu Perawatan Kewanitaan,feminia,"menjaga miss v tetap keset elastis, menambah libido, menghilangkan bau badan dan miss v yang kurang sedap, menyembuhkan keputihan, menjaga payudara tetap kenyal dan montok, melindungi rahim dari berbagai virus, menormalkan hormon estrogen, menghangatkan badan, mengurangi pegal - pegal / linu",PT. Firdaus,"menjaga miss v tetap keset elastis, menambah libido, menghilangkan bau badan dan miss v yang kurang sedap, menyembuhkan keputihan, menjaga payudara tetap kenyal dan montok, melindungi rahim dari berbagai virus, menormalkan hormon estrogen, menghangatkan badan, mengurangi pegal - pegal / linu",menjaga miss v tetap keset elastis menambah libido menghilangkan bau badan dan miss v yang kurang sedap menyembuhkan keputihan menjaga payudara tetap kenyal dan montok melindungi rahim dari berbagai virus menormalkan hormon estrogen menghangatkan badan mengurangi pegal  pegal  linu,"['menjaga', 'miss', 'v', 'tetap', 'keset', 'elastis', 'menambah', 'libido', 'menghilangkan', 'bau', 'badan', 'dan', 'miss', 'v', 'yang', 'kurang', 'sedap', 'menyembuhkan', 'keputihan', 'menjaga', 'payudara', 'tetap', 'kenyal', 'dan', 'montok', 'melindungi', 'rahim', 'dari', 'berbagai', 'virus', 'menormalkan', 'hormon', 'estrogen', 'menghangatkan', 'badan', 'mengurangi', 'pegal', 'pegal', 'linu']","['menjaga', 'miss', 'v', 'keset', 'elastis', 'menambah', 'libido', 'menghilangkan', 'bau', 'badan', 'miss', 'v', 'sedap', 'menyembuhkan', 'keputihan', 'menjaga', 'payudara', 'kenyal', 'montok', 'melindungi', 'rahim', 'virus', 'menormalkan', 'hormon', 'estrogen', 'menghangatkan', 'badan', 'mengurangi', 'pegal', 'pegal', 'linu']","['jaga', 'miss', 'v', 'keset', 'elastis', 'tambah', 'libido', 'hilang', 'bau', 'badan', 'miss', 'v', 'sedap', 'sembuh', 'putih', 'jaga', 'payudara', 'kenyal', 'montok', 'lindung', 'rahim', 'virus', 'normal', 'hormon', 'estrogen', 'hangat', 'badan', 'kurang', 'pegal', 'pegal', 'linu']"
